Ingredient Name,Category,Unit of Measurement,Purchase Unit,Volume,Conversion Factor,Cost Per Unit,Cost Per Usage Unit,Description,Brand,Current Stock,Minimum Stock Level,Maximum Stock Level,Reorder Point,Storage Location,Storage Temperature,Is Perishable,Shelf Life Days,Active,Available,Barcode,SKU,Notes
MILK ,DAIRY ,LITRE ,LITRE ,1000 ML ,1,48,48,,SARAS ,,,,0,,room_temperature,TRUE,,TRUE,TRUE,,,
MILK TETRA ,DAIRY ,LITRE ,LITRE ,1000 ML ,1,70.29,70.29,,AMUL ,387,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
CREAM ,DAIRY ,LITRE ,LITRE ,1000 ML,1,212.21,212.21,,AMUL ,118,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BUTTER ,DAIRY ,KG ,KG ,500 GM ,1,257.5,257.5,,AMUL ,309,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MOZRELLA CHEESE ,DAIRY ,KG ,KG ,1000 GM,1,501,501,,,2,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
PANEER JAIN,DAIRY ,KG ,KG ,1000 GM,1,360,360,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
PANEER BARMER,DAIRY ,KG ,KG ,1000 GM,1,200,200,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BREAD ,DAIRY ,KG ,KG ,500 GM,1,34,34,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BREAD ,DAIRY ,KG ,KG ,900 GM,1,33,33,,SUPER,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BROWN BREAD ,DAIRY ,KG ,KG ,500 GM,1,40,40,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
ICE CREAM BUTTER SCOTCH ,DAIRY ,LITRE ,LITRE ,5000 ML,1,584,584,,VADILAL ,7,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
ICE CREAM VANILLA ,DAIRY ,LITRE ,LITRE ,5000 ML,1,519,519,,VADILAL ,3,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
ICE CREAM STRAWBERRY ,DAIRY ,LITRE ,LITRE ,5000 ML,1,536,536,,VADILAL ,5,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
ICE CREAM CHOCOLATE ,DAIRY ,LITRE ,LITRE ,5000 ML,1,744,744,,VADILAL ,7,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
ICE CREAM AMERICAN,DAIRY ,LITRE ,LITRE ,5000 ML,1,739,739,,VADILAL ,0,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
 ICE CREAM FAMILY PACK ,DAIRY ,PACKET,PACKET,700 ML,1,287,287,,VADILAL ,19,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
CHEESE ,DAIRY ,KG ,KG ,1000 GM ,1,505,505,,AMUL ,0,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
LASSI ,DAIRY ,BOTTLE ,BOTTLE ,200 ML ,1,17.57,17.57,,AMUL ,180,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BUTTER MILK ,DAIRY ,BOTTLE ,BOTTLE ,150 ML ,1,13.8,13.8,,AMUL ,420,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
COOL ,DAIRY ,BOTTLE ,BOTTLE ,180 ML,1,21.8,21.8,,AMUL ,120,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
CHEESE SLICE,DAIRY ,PACKET,PACKET,200 GM ,1,129.41,129.41,,AMUL ,0,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
EGG,NON - VEG,PIECE,PIECE,50 GM,1,4.93,4.93,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
CHICKEN ,NON - VEG,KG ,KG ,1000 GM ,1,172,172,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
FISH FUNGUS ,NON - VEG,KG ,KG ,1000 GM ,1,120,120,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
FISH BASA,NON - VEG,KG ,KG ,1000 GM ,1,252,252,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
FISH ROHU ,NON - VEG,KG ,KG ,1000 GM ,1,160,160,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
PRAWNS FISH ,NON - VEG,KG ,KG ,1000 GM ,1,1210,1210,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MUTTON FRESH ,NON - VEG,KG ,KG ,1000 GM ,1,210,210,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MUTTON CURRY CUT ,NON - VEG,KG ,KG ,1000 GM ,1,500,500,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
CHICKEN SAUCE ,NON - VEG,KG ,KG ,1000 GM,1,500,500,,,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TUNA FISH - IN BRINE ,NON - VEG,TIN,TIN,180 GM ,1,125,125,,GOLDEN CROWN ,0,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
ATTA WHEAT ,FLOUR ,KG ,KG ,30,1,33.4,33.4,,TAPARIA ,1440,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MAIDA ,FLOUR ,KG ,KG ,45,1,35,35,,TAPARIA ,405,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BESAN ,FLOUR ,KG ,KG ,1000 GM,1,90,90,,TAPARIA ,0,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BESAN ,FLOUR ,KG ,KG ,1000 GM,1,94.5,94.5,,TAPARIA ,150,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
CORN FLOUR ,FLOUR ,KG ,KG ,1000 GM,1,60,60,,,28,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
ATTA 00 PIZA FLOUR,FLOUR ,KG ,KG ,1000GM,1,135,135,,,40,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
"MANGO,APPLE",BEVERAGES & BISCUITS ,LITRE ,LITRE ,1000 ML,1,86.25,86.25,,REAL FRUIT JUICE ,27,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
"PINEAPPLE, MIX, ORANGE",BEVERAGES & BISCUITS ,LITRE ,LITRE ,1000 ML,1,97.49,97.49,,REAL FRUIT JUICE ,74,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
GUAVA ,BEVERAGES & BISCUITS ,LITRE ,LITRE ,1000 ML,1,90,90,,REAL FRUIT JUICE ,,,,0,,room_temperature,FALSE,,TRUE,TRUE,,,
